54 15.54,11 30.84,29,221
54 45.90,12 39.54,24,221
54 58.22,14 05.81,34,221
54 58.26,14 05.93,34,221
54 58.27,14 05.92,76,221
54 58.27,14 05.93,70,221
54 58.27,14 05.97,33,221
54 58.27,14 06.00,37,221
54 58.28,14 05.90,26,221
54 58.28,14 05.92,30,221
54 58.28,14 05.93,77,221
54 58.28,14 05.95,37,221
54 58.29,14 05.95,37,221
54 58.40,14 05.80,36,221
55 01.56,14 00.48,37,237
55 02.28,13 54.06,23,237
55 03.77,14 04.87,34,237
55 03.96,14 04.91,24,237
55 11.10,13 47.46,22,237
55 14.99,15 59.03,36,237
55 14.99,15 59.05,40,237
55 15.00,15 59.04,57,237
55 15.00,15 59.05,91,237
55 15.00,15 59.06,40,237
55 15.00,15 59.07,32,237
55 15.00,15 59.04,57,192
55 15.00,15 59.05,91,192
55 15.00,15 59.06,40,192
55 15.00,15 59.07,32,192
55 15.00,15 59.00,308,317
55 15.00,15 59.04,57,317
55 15.00,15 59.05,91,317
55 15.00,15 59.06,40,317
55 15.00,15 59.07,32,317
55 15.01,15 59.02,23,317
55 15.01,15 59.05,59,317
55 15.01,15 59.07,32,317
55 15.03,15 58.98,28,317
55 15.16,15 59.19,23,317
55 19.52,12 56.47,91,317
55 20.83,13 01.13,106,317
55 23.15,13 38.58,101,317
55 26.04,14 48.78,21,317
55 30.80,12 52.85,220,317
55 30.80,12 52.85,220,300
55 35.40,15 19.80,92,300
55 39.00,14 17.85,18,300
55 41.20,13 02.20,235,300
55 41.20,13 02.20,235,278
55 47.10,12 54.40,247,278
55 52.14,12 47.76,92,278
55 52.14,12 47.76,92,311
56 01.92,16 39.00,29,311
56 06.70,14 49.45,20,311
56 13.00,12 31.00,210,311
56 13.10,12 31.00,138,311
56 18.93,12 39.13,247,311
56 18.93,12 39.13,247,296
56 22.00,16 12.11,51,296
56 22.23,16 12.11,39,296
56 22.24,16 12.09,41,296
56 22.25,16 12.10,290,296
56 22.25,16 12.11,95,296
56 22.25,16 12.12,52,296
56 22.25,16 12.11,95,174
56 22.25,16 12.12,52,174
56 22.25,16 12.10,290,394
56 22.25,16 12.11,95,394
56 22.25,16 12.12,52,394
56 22.26,16 12.12,60,394
56 22.26,16 12.13,63,394
56 22.31,16 12.11,45,394
56 29.08,12 46.73,65,394
56 39.51,11 48.08,80,389
56 39.84,11 49.32,26,389
56 39.99,11 49.85,28,389
56 40.06,11 48.63,34,330
56 42.00,12 06.00,89,330
56 56.40,12 12.70,333,400
57 02.40,17 31.74,24,400
57 06.93,17 33.04,24,400
57 06.97,17 26.41,87,400
57 06.97,17 33.07,23,400
57 07.20,17 34.20,92,400
57 09.66,11 39.72,22,400
57 18.20,11 59.30,399,400
57 18.20,12 43.20,32,400
57 18.20,12 43.20,32,341
57 18.20,12 43.20,32,341
57 18.20,12 43.20,32,341
57 18.20,11 59.30,399,407
57 18.20,12 43.20,32,407
57 18.41,18 45.29,54,407
57 18.72,20 04.56,54,407
57 18.72,20 04.60,29,407
57 18.72,20 04.62,25,407
57 18.73,20 04.56,38,407
57 18.73,20 04.57,87,407
57 18.73,20 04.58,41,407
57 18.73,20 04.60,25,407
57 18.74,20 04.58,30,407
57 18.75,20 04.59,34,407
57 18.79,19 56.09,34,407
57 18.90,19 54.60,87,407
57 20.00,20 03.00,305,407
57 21.60,12 01.75,105,293
57 24.00,18 07.88,54,293
57 24.40,12 03.00,109,293
57 25.62,17 40.56,29,293
57 32.10,11 48.50,94,293
57 32.10,11 48.50,94,416
57 40.05,11 41.20,379,416
57 40.05,11 41.20,379,412
57 40.05,11 41.20,379,412
57 40.05,11 41.20,379,447
57 40.69,11 41.52,144,447
57 40.70,11 46.10,97,447
57 40.73,11 46.10,211,447
57 40.73,11 46.10,211,439
57 41.12,18 54.65,56,439
57 51.30,18 35.90,56,439
57 53.59,19 02.21,54,439
57 54.07,11 40.00,239,439
57 55.18,11 35.60,389,439
57 55.18,11 35.60,389,396
57 55.18,11 35.60,389,396
57 55.18,11 35.60,389,396
57 55.18,11 35.60,389,422
57 59.38,11 45.70,94,422
57 59.91,16 45.20,94,422
57 59.98,16 40.30,92,422
57 59.98,18 23.29,26,422
58 04.50,11 29.58,209,422
58 04.50,11 29.58,209,379
58 06.55,11 48.60,225,379
58 09.66,18 25.14,23,379
58 13.80,11 34.80,333,379
58 13.80,11 34.80,333,349
58 13.80,11 34.80,333,349
58 13.80,11 34.80,333,415
58 13.83,11 34.80,130,415
58 16.50,10 30.80,317,348
58 16.50,10 30.80,317,406
58 18.00,11 06.00,118,406
58 18.75,11 46.40,349,406
58 18.75,11 46.40,349,357
58 18.75,11 46.40,349,357
58 18.75,11 46.40,349,424
58 20.00,11 53.00,92,424
58 20.60,11 24.20,389,424
58 20.60,11 24.20,389,435
58 21.20,11 08.64,91,435
58 21.20,11 14.40,172,435
58 21.92,16 57.01,105,435
58 23.36,16 43.81,92,435
58 23.36,16 43.81,92,215
58 26.92,16 33.82,105,215
58 29.98,18 54.16,24,215
58 30.00,19 00.60,94,215
58 35.62,18 14.15,57,125
58 35.62,18 14.17,50,125
58 35.62,18 14.18,77,125
58 35.62,18 14.15,57,237
58 35.62,18 14.17,50,237
58 35.62,18 14.18,77,237
58 35.63,18 14.20,46,237
58 35.63,18 14.21,33,237
